Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
17. Alice Doesn't Live Here Anymore,1974,1h 52m,PG,7.3,28K,78.0,"A recently-widowed woman is on the road with her precocious young son, determined to make a new life for herself as a singer.",https://www.imdb.com/title/tt0071115/?ref_=sr_i_17,"['Ellen Burstyn', 'Kris Kristofferson', 'Mia Bendixsen']",Martin Scorsese,"['Ellen Burstyn', 'Kris Kristofferson', 'Mia Bendixsen', 'Alfred Lutter III', 'Billy Green Bush', 'Lelia Goldoni', 'Ola Moore', 'Harry Northup', 'Marty Brinton', 'Dean Casper']","$1,800,000 (estimated)",,"$18,600,211","$18,600,000","May 23, 1975",['United States'],"Chicago Music Store - 130 E Congress Street, Tucson, Arizona, USA",['Warner Bros.'],6 wins & 11 nominations total,"['Drama', 'Romance']",['English']
18. The Sugarland Express,1974,1h 50m,PG,6.7,20K,65.0,A woman attempts to reunite her family by helping her husband escape prison and together kidnapping their son. But things don't go as planned when they are forced to take a police hostage on the road.,https://www.imdb.com/title/tt0072226/?ref_=sr_i_18,"['Hal Barwood', 'Matthew Robbins', 'Steven Spielberg']",Steven Spielberg,"['Goldie Hawn', 'Ben Johnson', 'Michael Sacks', 'William Atherton', 'Gregory Walcott', 'Steve Kanaly', 'Louise Latham', 'Harrison Zanuck', 'A.L. Camp', 'Jessie Lee Fulton']","$3,000,000 (estimated)",,"$7,505,037","$7,500,000","May 29, 1974",['United States'],"San Antonio, Texas, USA","['Universal Pictures', 'Zanuck/Brown Productions']",2 wins & 5 nominations total,"['Dark Comedy', 'Crime', 'Drama']",['English']
19. The Conversation,1974,1h 53m,PG,7.7,127K,88.0,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",https://www.imdb.com/title/tt0071360/?ref_=sr_i_19,"['Gene Hackman', 'John Cazale', 'Allen Garfield']",Francis Ford Coppola,"['Gene Hackman', 'John Cazale', 'Allen Garfield', 'Frederic Forrest', 'Cindy Williams', 'Michael Higgins', 'Elizabeth MacRae', 'Teri Garr', 'Harrison Ford', 'Mark Wheeler']","$1,600,000 (estimated)","$5,494","$4,886,886","$4,852,199","April 12, 1974",['United States'],"American Roofing Co. Building - 1616 16th Street, Potrero Hill, San Francisco, California, USA","['The Directors Company', 'The Coppola Company', 'American Zoetrope']",14 wins & 17 nominations total,"['Conspiracy Thriller', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Mystery', 'Thriller']",['English']
20. A Poem Is a Naked Person,1974,1h 30m,Not Rated,7.1,570,76.0,Les Blank's first feature-length documentary captures music and other events at Leon Russell's Oklahoma recording studio during a three-year period (1972-1974).,https://www.imdb.com/title/tt0424359/?ref_=sr_i_20,"['Leon Russell', 'Eric Andersen', 'Richard V. Armstrong']",Les Blank,"['Leon Russell', 'Eric Andersen', 'Richard V. Armstrong', 'Audie Ashworth', 'Malissa Bates', 'Chuck Blackwell', 'Les Blank', 'Harold Bradley', 'David Briggs', 'Homer Brown']",,"$5,526","$96,775","$96,592","July 8, 2016",['United States'],"Anaheim, California, USA","['Les Blank Films', 'Skyhill Films']",1 nomination total,"['Documentary', 'Music']",['English']
21. Celine and Julie Go Boating,1974,3h 13m,Unrated,7.2,6.6K,100.0,A mysteriously linked pair of young women find their daily lives preempted by a strange boudoir melodrama that plays itself out in a hallucinatory parallel reality.,https://www.imdb.com/title/tt0071381/?ref_=sr_i_21,"['Juliet Berto', 'Dominique Labourier', 'Bulle Ogier']",Jacques Rivette,"['Juliet Berto', 'Dominique Labourier', 'Bulle Ogier', 'Marie-France Pisier', 'Barbet Schroeder', 'Nathalie Asnar', 'Marie-Thérèse Saussure', 'Philippe Clévenot', 'Anne Zamire', 'Jean Douchet']",,"$5,624","$31,452","$31,452","September 18, 1974",['France'],"Montmartre, Paris 18, Paris, France","['Action Films', 'Les Films 7', 'Les Films Christian Fechner']",1 win total,"['Dark Comedy', 'Slapstick', 'Comedy', 'Drama', 'Fantasy', 'Mystery']",['French']
22. Hearts and Minds,1974,1h 52m,R,8.2,6.3K,68.0,A startling and courageous landmark documentary that unflinchingly confronted the United States' involvement in Vietnam at the height of the controversy that surrounded it.,https://www.imdb.com/title/tt0071604/?ref_=sr_i_22,"['Tin Chan', 'Chau Diem', 'Ngo Dinh Diem']",Peter Davis,"['Tin Chan', 'Chau Diem', 'Ngo Dinh Diem', 'John Foster Dulles', 'Kay Dvorshock', 'Dwight D. Eisenhower', 'David Emerson', 'Mui Duc Giang', 'Charles Hoey', 'Stan Holder']",,"$8,556","$28,754","$28,754","November 17, 1975",['United States'],"Linden, New Jersey, USA","['Audjeff', 'BBS Productions', 'Rainbow Releasing']",5 wins & 1 nomination total,"['Documentary', 'History', 'War']","['English', 'French', 'Vietnamese']"
23. Stavisky,1974,2h,PG,6.5,2.6K,,A swindler's activity indirectly caused a political crisis in France in the last years before World War II.,https://www.imdb.com/title/tt0072204/?ref_=sr_i_23,"['Jean-Paul Belmondo', 'Charles Boyer', 'François Périer']",Alain Resnais,"['Jean-Paul Belmondo', 'Charles Boyer', 'François Périer', 'Anny Duperey', 'Michael Lonsdale', 'Roberto Bisacco', 'Claude Rich', 'Pierre Vernier', 'Marcel Cuvelier', 'Van Doude']",,"$4,734","$13,793","$13,793","May 15, 1974","['France', 'Italy']","Paris Studios Cinéma, Billancourt, Hauts-de-Seine, France","['Cerito Films', 'Les Films Ariane', 'Simar Films']",3 wins & 1 nomination total,"['Biography', 'Crime', 'Drama']","['French', 'English']"
24. Ali: Fear Eats the Soul,1974,1h 33m,Not Rated,8.0,25K,,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.",https://www.imdb.com/title/tt0071141/?ref_=sr_i_24,"['Brigitte Mira', 'El Hedi ben Salem', 'Barbara Valentin']",Rainer Werner Fassbinder,"['Brigitte Mira', 'El Hedi ben Salem', 'Barbara Valentin', 'Irm Hermann', 'Elma Karlowa', 'Anita Bucher', 'Gusti Kreissl', 'Doris Mattes', 'Margit Symo', 'Katharina Herberg']","DEM260,000 (estimated)","$11,623","$16,247","$8,144","October 31, 1974",['West Germany'],"Munich, Bavaria, Germany","['Tango Film', 'Filmverlag der Autoren']",4 wins & 1 nomination total,"['Feel-Good Romance', 'Political Drama', 'Drama', 'Romance']","['German', 'Arabic']"
25. Effi Briest,1974,2h 15m,Not Rated,6.9,2.8K,,"In the nineteenth century, seventeen year old Effi Briest is married to the older Baron von Instetten and moves into a house, that she believes has a ghost, in a small isolated Baltic town. She soon bears a daughter, Annie, and hires the lapsed Catholic Roswitha to look after her. Effi is lonely when her husband is away on business, so she spends time riding and walking along the shore with Major Crampas. Instetten is promoted to Ministerial Councillor and the family moves to Berlin, where Effi enjoys the social life. Six years later, the Baron is given letters from Crampas to Effi that convince him that they had an affair. He feels obliged to challenge Crampas to a duel and banish Effi from the house.",https://www.imdb.com/title/tt0071458/?ref_=sr_i_25,"['Hanna Schygulla', 'Wolfgang Schenck', 'Ulli Lommel']",Rainer Werner Fassbinder,"['Hanna Schygulla', 'Wolfgang Schenck', 'Ulli Lommel', 'Karlheinz Böhm', 'Lilo Pempeit', 'Herbert Steinmetz', 'Ursula Strätz', 'Irm Hermann', 'Karl Scheydt', 'Barbara Lass']","DEM750,000 (estimated)","$11,623","$8,148","$8,144","June 16, 1977",['West Germany'],"Neustadt, Schleswig-Holstein, Germany",['Tango Film'],1 win & 1 nomination total,"['Drama', 'History']",['German']
26. Swept Away,1974,1h 54m,R,7.5,7K,67.0,A trip into the Mediterranean sea becomes a trip into the discovery of how society's frameworks of the rich and poor are delicate and temporary.,https://www.imdb.com/title/tt0073817/?ref_=sr_i_26,['Lina Wertmüller'],Lina Wertmüller,"['Giancarlo Giannini', 'Mariangela Melato', 'Riccardo Salvino', 'Isa Danieli', 'Aldo Puglisi', 'Anna Melita', 'Giuseppe Durini', 'Lucrezia De Domizio', 'Luis Suárez', 'Vittorio Fanfoni']",,"$1,011","$7,876","$7,876","September 17, 1975",['Italy'],"Tortolì, Sardinia, Italy","['Cam Sugar', 'Medusa Distribuzione']",4 wins & 4 nominations total,"['Survival', 'Adventure', 'Comedy', 'Drama']","['Italian', 'French']"
27. The Phantom of Liberty,1974,1h 44m,R,7.8,18K,,A series of surreal sequences that critique morality and society in a stream of consciousness style.,https://www.imdb.com/title/tt0071487/?ref_=sr_i_27,"['Jean-Claude Brialy', 'Adolfo Celi', 'Michel Piccoli']",Luis Buñuel,"['Jean-Claude Brialy', 'Adolfo Celi', 'Michel Piccoli', 'Monica Vitti', 'Adriana Asti', 'Julien Bertheau', 'Paul Frankeur', 'Michael Lonsdale', 'Pierre Maguelon', 'François Maistre']",,"$6,172","$6,749","$6,172","October 27, 1974","['France', 'Italy']","Tour Montparnasse - 33, avenue Maine, Paris 15, Paris, France",['Greenwich Film Productions'],2 wins total,"['Dark Comedy', 'Satire', 'Comedy']","['Latin', 'Spanish', 'French']"
"28. Vincent, François, Paul and the Others",1974,1h 58m,Not Rated,7.3,2.8K,,"Three friends face mid-life crises. Paul is a writer who's blocked. François has lost his ideals and practices medicine for the money. The charming Vincent faces bankruptcy and his wife, from whom he's separated, wants a divorce.",https://www.imdb.com/title/tt0072368/?ref_=sr_i_28,"['Yves Montand', 'Michel Piccoli', 'Serge Reggiani']",Claude Sautet,"['Yves Montand', 'Michel Piccoli', 'Serge Reggiani', 'Gérard Depardieu', 'Stéphane Audran', 'Marie Dubois', 'Umberto Orsini', 'Ludmila Mikaël', 'Antonella Lualdi', 'Catherine Allégret']",,,"$5,603","$5,063","October 20, 1974","['France', 'Italy']","Epinay-sur-Seine, Seine-Saint-Denis, France","['Lira Films', 'President Produzioni']",,['Drama'],['French']
29. Promised Lands,1974,1h 27m,Not Rated,6.3,66,,"This is Susan Sontag's documentary about Israel, shot during the Yom Kippur war. Much of it is strictly observational.",https://www.imdb.com/title/tt0072041/?ref_=sr_i_29,[],Susan Sontag,"['Yoram Kaniuk', ""Yuval Ne'eman""]",,$797,"$4,546","$4,546","December 19, 1974","['Poland', 'France']",,,,"['Documentary', 'War']","['English', 'French']"
30. Emmanuelle,1974,1h 35m,Unrated,5.2,12K,,The wife of a French diplomat in Bangkok embarks on a voyage of self-discovery.,https://www.imdb.com/title/tt0071464/?ref_=sr_i_30,"['Sylvia Kristel', 'Alain Cuny', 'Marika Green']",Just Jaeckin,"['Sylvia Kristel', 'Alain Cuny', 'Marika Green', 'Daniel Sarky', 'Jeanne Colletin', 'Christine Boisson', 'Samantha', 'Gabriel Briand', 'Gregory', 'Yves Rousset-Rouard']","$500,000 (estimated)",,,,"December 3, 1974",['France'],"Chiang Mai, Thailand","['Trinacra Films', 'Orphée Productions']",,"['Steamy Romance', 'Drama', 'Romance']",['French']
31. Can You Keep It Up for a Week?,1974,1h 32m,R,4.5,389,,Blundering idiot is set an ultimatum by his girlfriend. Keep a job for a week or she leaves him. Only innuendo and comedy pratfalls can stop him.,https://www.imdb.com/title/tt0071273/?ref_=sr_i_31,"['Jeremy Bulloch', 'Neil Hallett', 'Jill Damas']",Jim Atkinson,"['Jeremy Bulloch', 'Neil Hallett', 'Jill Damas', 'Joy Harington', 'Maria Coyne', 'Lynne Ross', 'Valerie Phillips', 'Frances Bennett', 'Sally Harrison', 'Sue Longhurst']",,,,,1974,['United Kingdom'],"Holiday Inn London Heathrow, Sipson Road, Heathrow Airport, West Drayton, Greater London, England, UK",['Pyramid Films'],,"['Slapstick', 'Comedy']",['English']
32. Zardoz,1974,1h 45m,R,5.8,25K,46.0,"In the late 23rd century, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements.",https://www.imdb.com/title/tt0070948/?ref_=sr_i_32,"['Sean Connery', 'Charlotte Rampling', 'Sara Kestelman']",John Boorman,"['Sean Connery', 'Charlotte Rampling', 'Sara Kestelman', 'John Alderton', 'Sally Anne Newton', 'Niall Buggy', 'Bosco Hogan', 'Jessica Swift', 'Bairbre Dowling', 'Christopher Casson']","$1,570,000 (estimated)",,"$7,227",,"February 6, 1974","['Ireland', 'United States']","Brennanstown Riding School, Bray, County Wicklow, Ireland","['John Boorman Productions', 'Twentieth Century Fox']",2 nominations total,"['Adventure', 'Fantasy', 'Sci-Fi']","['English', 'Italian', 'Swedish', 'Latin', 'German', 'French', 'Irish Gaelic']"
33. A Woman Under the Influence,1974,2h 35m,R,8.0,31K,88.0,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.",https://www.imdb.com/title/tt0072417/?ref_=sr_i_33,"['Gena Rowlands', 'Peter Falk', 'Fred Draper']",John Cassavetes,"['Gena Rowlands', 'Peter Falk', 'Fred Draper', 'Lady Rowlands', 'Katherine Cassavetes', 'Matthew Labyorteaux', 'Matthew Cassel', 'Christina Grisanti', 'George Dunn', 'Mario Gallo']","$1,000,000 (estimated)",,"$25,601",,"November 18, 1974",['United States'],"1741 N. Taft Avenue, Hollywood, Los Angeles, California, USA",['Faces'],10 wins & 7 nominations total,"['Drama', 'Romance']","['English', 'Italian']"
34. Black Christmas,1974,1h 38m,R,7.1,52K,65.0,"During their Christmas break, a group of sorority girls are stalked by a stranger.",https://www.imdb.com/title/tt0071222/?ref_=sr_i_34,"['Olivia Hussey', 'Keir Dullea', 'Margot Kidder']",Bob Clark,"['Olivia Hussey', 'Keir Dullea', 'Margot Kidder', 'John Saxon', 'Marian Waldman', 'Andrea Martin', 'James Edmond', 'Doug McGrath', 'Art Hindle', 'Lynne Griffin']","$620,000 (estimated)",,"$4,316",,"December 20, 1974",['Canada'],"6 Clarendon Crescent, Toronto, Ontario, Canada","['August Films', 'Canadian Film Development Corporation (CFDC)', 'Famous Players']",3 wins & 2 nominations total,"['Slasher Horror', 'Whodunnit', 'Holiday', 'Horror', 'Mystery', 'Thriller']","['English', 'Latin']"
35. Arabian Nights,1974,2h 10m,NC-17,6.7,9.4K,,"In ancient Arabia, a beautiful slave girl chooses a youth to be her new master, then she is kidnapped and they must search for each other. Stories are told within stories: love, travel and the whims of destiny.",https://www.imdb.com/title/tt0071502/?ref_=sr_i_35,"['Ninetto Davoli', 'Franco Citti', 'Franco Merli']",Pier Paolo Pasolini,"['Ninetto Davoli', 'Franco Citti', 'Franco Merli', 'Tessa Bouché', 'Ines Pellegrini', 'Margareth Clémenti', 'Luigina Rocchi', 'Alberto Argentino', 'Francesco Paolo Governale', 'Salvatore Sapienza']",,,$755,,"June 20, 1974","['Italy', 'France']","Mesjed-e-Imam, Esfahan, Iran","['Produzioni Europee Associate (PEA)', 'Les Productions Artistes Associés']",1 win & 3 nominations total,"['Period Drama', 'Romantic Epic', 'Comedy', 'Drama', 'Fantasy', 'History', 'Romance']","['Italian', 'Arabic']"
36. Macon County Line,1974,1h 29m,R,6.5,1.8K,,A vengeful Southern sheriff is out for blood after his wife is brutally killed by a pair of drifters.,https://www.imdb.com/title/tt0071788/?ref_=sr_i_36,"['Max Baer Jr.', 'Richard Compton']",Richard Compton,"['Alan Vint', 'Cheryl Waters', 'Max Baer Jr.', 'Geoffrey Lewis', 'Joan Blackman', 'Jesse Vint', 'Sam Gilman', 'Timothy Scott', 'James Gammon', 'Leif Garrett']","$225,000 (estimated)",,,,"September 28, 1975",['United States'],"Sacramento, California, USA","['American International Pictures (AIP)', 'Max Baer Productions']",,"['Action', 'Drama', 'Romance']",['English']
37. Phantom of the Paradise,1974,1h 31m,PG,7.3,24K,67.0,"A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise.",https://www.imdb.com/title/tt0071994/?ref_=sr_i_37,"['Paul Williams', 'William Finley', 'Jessica Harper']",Brian De Palma,"['Paul Williams', 'William Finley', 'Jessica Harper', 'Gerrit Graham', 'George Memmoli', 'Archie Hahn', 'Jeffrey Comanor', 'Peter Elbling', 'Colin Cameron', 'David Garland']","$1,300,000 (estimated)",,"$2,245",,"November 1, 1974",['United States'],"Majestic Theatre - 1925 Elm Street, Dallas, Texas, USA","['Harbor Productions', 'Pressman-Williams Enterprises']",3 wins & 5 nominations total,"['Dark Comedy', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Music', 'Romance', 'Thriller']",['English']
38. Sweet Movie,1974,1h 38m,Not Rated,5.9,6.6K,,"After winning the ""most virgin"" contest, Miss Canada is married to a rich milk tycoon. But she quickly flees the marriage to experience the world around her, full of sweetness and anarchy.",https://www.imdb.com/title/tt0072235/?ref_=sr_i_38,"['Carole Laure', 'Pierre Clémenti', 'Anna Prucnal']",Dusan Makavejev,"['Carole Laure', 'Pierre Clémenti', 'Anna Prucnal', 'Sami Frey', 'Jane Mallett', 'Roy Callender', 'John Vernon', 'Hansi Roll', 'Therese Schulmeister', 'Renate Steiger']","CA$700,000 (estimated)",,,,"June 12, 1974","['France', 'Canada', 'West Germany']","Amsterdam, Noord-Holland, Netherlands","['V.M. Productions', 'Mojack Film Ltée', 'Maran Film']",,"['Satire', 'Comedy', 'Drama', 'Mystery']","['Dutch', 'Greek', 'English', 'French', 'Polish', 'Spanish', 'Italian']"
39. Got It Made,1974,1h 26m,,5.4,11,,"Drama set in Norfolk, England. An aristocratic girl whose world falls apart three days before her wedding. She discovers the hideous truths about the people closest to her - and her upbringing and background leave her unable to cope.",https://www.imdb.com/title/tt0190427/?ref_=sr_i_39,"['Lalla Ward', 'Michael Latimer', 'Douglas Lambert']",James Kenelm Clarke,"['Lalla Ward', 'Michael Latimer', 'Douglas Lambert', 'Katya Wyeth', 'Michael Feast', 'Fabia Drake', 'Barbara Markham', 'Michael Lees', 'John Warner', 'Richard Leech']",,,,,December 1974,['United Kingdom'],,['Norfolk International Pictures'],,['Drama'],['English']
40. Dark Star,1974,1h 23m,G,6.2,28K,66.0,"In the far reaches of space, a small crew, 20 years into their solitary mission, find things beginning to go hilariously wrong.",https://www.imdb.com/title/tt0069945/?ref_=sr_i_40,"['John Carpenter', ""Dan O'Bannon""]",John Carpenter,"[""Dan O'Bannon"", 'Dre Pahich', 'Brian Narelle', 'Cal Kuniholm', 'Adam Beckenbaugh', 'John Carpenter', 'Nick Castle', 'Cookie Knapp', 'Joe Saunders', 'Alan Sheretz']","$60,000 (estimated)",,,,"January 17, 1975",['United States'],"Raleigh Studios - 5300 Melrose Avenue, Hollywood, Los Angeles, California, USA","['Jack H. Harris Enterprises', 'University of Southern California (USC)']",1 win & 2 nominations total,"['Parody', 'Satire', 'Slapstick', 'Space Sci-Fi', 'Comedy', 'Sci-Fi']",['English']
41. Captain Kronos: Vampire Hunter,1974,1h 31m,R,6.3,5.9K,,A master swordsman and former soldier and his hunchbacked assistant hunt vampires.,https://www.imdb.com/title/tt0071276/?ref_=sr_i_41,"['Horst Janson', 'John Carson', 'Shane Briant']",Brian Clemens,"['Horst Janson', 'John Carson', 'Shane Briant', 'Caroline Munro', 'John Cater', 'Lois Daine', 'Ian Hendry', 'Wanda Ventham', 'William Hobbs', 'Brian Tully']","£160,000 (estimated)",,,,"June 14, 1974",['United Kingdom'],"Black Park, Iver Heath, Buckinghamshire, England, UK",['Hammer Films'],,"['Dark Comedy', 'Vampire Horror', 'Adventure', 'Horror', 'Mystery']",['English']
42. Coonskin,1974,1h 40m,R,6.4,4K,,"Rabbit, a country-born trickster, takes over the organized crime racket in Harlem, facing opposition from the institutionalized racism of the Mafia and corrupt police.",https://www.imdb.com/title/tt0071361/?ref_=sr_i_42,"['Barry White', 'Charles Gordone', 'Scatman Crothers']",Ralph Bakshi,"['Barry White', 'Charles Gordone', 'Scatman Crothers', 'Philip Michael Thomas', 'Danny Rees', 'Buddy Douglas', 'Jim Moore', 'Jesse Welles', 'Ralph Bakshi', 'Frank DeKova']",,,,,"August 20, 1975",['United States'],"New York City, New York, USA","['Bakshi Productions', 'Paramount Pictures', 'Ruddy Productions']",,"['Adult Animation', 'Dark Comedy', 'Hand-Drawn Animation', 'Parody', 'Satire', 'Action', 'Animation', 'Comedy', 'Crime', 'Drama']",['English']
43. Flesh Gordon,1974,1h 18m,R,4.8,4.9K,,"Emperor Wang is leader of the planet Porno and sends his mighty sex ray toward Earth, which turns everyone into sex-mad fiends. Only one person can save the Earth, football player Flesh Gordon.",https://www.imdb.com/title/tt0068595/?ref_=sr_i_43,"['Jason Williams', 'Suzanne Fields', 'Joseph Hudgins']",Michael Benveniste,"['Jason Williams', 'Suzanne Fields', 'Joseph Hudgins', 'William Dennis Hunt', 'Candy Samples', 'Mycle Brandy', 'Steve Grumette', 'Nora Wieternik', 'Lance Larsen', 'Judy Ziehm']","$700,000 (estimated)",,,,"July 30, 1974",['United States'],"Raleigh Studios - 5300 Melrose Avenue, Hollywood, Los Angeles, California, USA",['Graffiti Productions'],2 nominations total,"['Parody', 'Satire', 'Comedy', 'Sci-Fi']",['English']
44. Foxy Brown,1974,1h 32m,R,6.5,13K,46.0,A vigilante takes a job as a high-class prostitute to get revenge on the mobsters who murdered her boyfriend.,https://www.imdb.com/title/tt0071517/?ref_=sr_i_44,"['Pam Grier', 'Antonio Fargas', 'Peter Brown']",Jack Hill,"['Pam Grier', 'Antonio Fargas', 'Peter Brown', 'Terry Carter', 'Kathryn Loder', 'Harry Holcombe', 'Sid Haig', 'Juanita Brown', 'Sally Ann Stroud', 'Bob Minor']","$500,000 (estimated)",,$459,,"April 5, 1974",['United States'],"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA","['American International Pictures (AIP)', 'Hollywood West Entertainment']",,"['B-Action', 'Action', 'Crime', 'Thriller']",['English']
45. The Taking of Pelham One Two Three,1974,1h 44m,R,7.6,38K,68.0,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?",https://www.imdb.com/title/tt0072251/?ref_=sr_i_45,"['Walter Matthau', 'Robert Shaw', 'Martin Balsam']",Joseph Sargent,"['Walter Matthau', 'Robert Shaw', 'Martin Balsam', 'Hector Elizondo', 'Earl Hindman', 'James Broderick', ""Dick O'Neill"", 'Lee Wallace', 'Tom Pedi', 'Beatrice Winde']","$5,000,000 (estimated)",,$357,,"October 2, 1974",['United States'],"Gracie Mansion, Manhattan, New York City, New York, USA","['Palomar Pictures International', 'Palladium Productions']",3 nominations total,"['Caper', 'Dark Comedy', 'Action', 'Crime', 'Thriller']","['English', 'Spanish']"
46. Big Bad Mama,1974,1h 24m,R,5.7,3.2K,60.0,"Circumstances force a tough single mother and her two daughters into a life of crime and they quickly become outlaws on the run, picking up partners along the way, and traveling to different states, pursued by the law.",https://www.imdb.com/title/tt0071216/?ref_=sr_i_46,"['Angie Dickinson', 'William Shatner', 'Tom Skerritt']",Steve Carver,"['Angie Dickinson', 'William Shatner', 'Tom Skerritt', 'Susan Sennett', 'Robbie Lee', 'Noble Willingham', 'Dick Miller', 'Tom Signorelli', 'Joan Prather', 'Royal Dano']",,,,"$617,400","January 12, 1975",['United States'],"42061 Main Street, Temecula, California, USA","['Santa Cruz Productions', 'Hit Woman Productions']",,"['Satire', 'Action', 'Comedy', 'Crime', 'Drama']",['English']
47. Shriek of the Mutilated,1974,1h 27m,R,4.1,1.2K,,A group of college students are led by their professor into the mountains in search of the Yeti. The students start to be killed off one by one.,https://www.imdb.com/title/tt0072156/?ref_=sr_i_47,"['Alan Brock', 'Jennifer Stock', 'Tawm Ellis']",Michael Findlay,"['Alan Brock', 'Jennifer Stock', 'Tawm Ellis', 'Michael Harris', 'Darcy Brown', 'Jack Neubeck', 'Tom Grail', 'Luci Brandt', 'Ivan Agar', 'Marina Stefan']",,,,,"July 18, 1974",['United States'],"Fordham University - 441 E. Fordham Road. Rose Hill, Bronx, New York City, New York, USA",['Ed Adlum and Mike Findlay Productions'],,['Horror'],['English']
48. The Night Porter,1974,1h 58m,R,6.6,15K,,"A concentration camp survivor rekindles her sadomasochistic relationship with an ex-SS officer working as a night porter at a Vienna hotel, but his former associates begin stalking them.",https://www.imdb.com/title/tt0071910/?ref_=sr_i_48,"['Liliana Cavani', 'Italo Moscati', 'Barbara Alberti']",Liliana Cavani,"['Dirk Bogarde', 'Charlotte Rampling', 'Philippe Leroy', 'Gabriele Ferzetti', 'Giuseppe Addobbati', 'Isa Miranda', 'Nino Bignamini', 'Marino Masé', 'Amedeo Amodio', 'Piero Vida']",,,,"$633,298","October 1, 1974","['Italy', 'France']","Via Tuscolona, Rome, Lazio, Italy","['Lotar Film Productions', 'Les Productions Artistes Associés']",2 nominations total,"['Psychological Drama', 'Drama']","['English', 'German', 'Latin']"
49. Juggernaut,1974,1h 49m,PG,6.6,6.6K,,A blackmailer demands a huge ransom in exchange for information on how to disarm the seven bombs he placed aboard the transatlantic liner Britannic.,https://www.imdb.com/title/tt0071706/?ref_=sr_i_49,"['Richard Harris', 'Omar Sharif', 'David Hemmings']",Richard Lester,"['Richard Harris', 'Omar Sharif', 'David Hemmings', 'Anthony Hopkins', 'Shirley Knight', 'Ian Holm', 'Clifton James', 'Roy Kinnear', 'Caroline Mortimer', 'Mark Burns']",,,,"$1,563,340","September 25, 1974","['United Kingdom', 'United States']","TS Maxim Gorkiy, Atlantic Ocean","['David V. Picker Productions', 'Two Roads Productions']",,"['Disaster', 'Psychological Thriller', 'Action', 'Drama', 'Thriller']",['English']
50. The Land That Time Forgot,1974,1h 31m,PG,5.6,7.4K,50.0,"During World War I, a German U-boat sinks a British ship and takes the survivors on board. After it takes a wrong turn, the submarine takes them to the unknown land of Caprona, where they find dinosaurs and neanderthals.",https://www.imdb.com/title/tt0073260/?ref_=sr_i_50,"['Doug McClure', 'John McEnery', 'Susan Penhaligon']",Kevin Connor,"['Doug McClure', 'John McEnery', 'Susan Penhaligon', 'Keith Barron', 'Anthony Ainley', 'Godfrey James', 'Bobby Parr', 'Declan Mulholland', 'Colin Farrell', 'Ben Howard']","$1,500,000 (estimated)",,,,"August 13, 1975","['United Kingdom', 'United States']","Shepperton Studios, Shepperton, Surrey, England, UK","['Amicus Productions', 'Lion International', 'Edgar Rice Burroughs Inc.']",,"['Dinosaur Adventure', 'Adventure', 'Fantasy']","['English', 'German']"
51. McQ,1974,1h 51m,PG,6.2,6.1K,,Seattle cop is caught up in a corrupt police force that he is trying to make right. McQ is a cop with a mission.,https://www.imdb.com/title/tt0071824/?ref_=sr_i_51,"['John Wayne', 'Eddie Albert', 'Diana Muldaur']",John Sturges,"['John Wayne', 'Eddie Albert', 'Diana Muldaur', 'Colleen Dewhurst', 'Clu Gulager', 'David Huddleston', 'Julian Christopher', 'Al Lettieri', 'Julie Adams', 'Roger E. Mosley']",,,,"$240,350","February 6, 1974",['United States'],"Quinault Indian Reservation, Washington, USA","['Warner Bros.', 'Levy-Gardner Productions', 'Batjac Productions']",,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English']
52. The Arena,1974,1h 23m,R,5.2,2.3K,,"When the Romans force a group of sex slaves to become gladiatrices, two such fighters - a Nubian dancer and a Gaulish priestess - form an alliance to lead the others in rebellion.",https://www.imdb.com/title/tt0069729/?ref_=sr_i_52,"['Margaret Markov', 'Pam Grier', 'Lucretia Love']",Steve Carver,"['Margaret Markov', 'Pam Grier', 'Lucretia Love', 'Paul Muller', 'Daniele Vargas', 'Marie Louise Sinclair', 'Maria Pia Conte', 'Rosalba Neri', 'Vassili Karis', 'Silvio Laurenzi']",,,,,January 1974,"['Italy', 'United States']","Rome, Lazio, Italy","['Dany Film', 'New World Pictures', 'San Jacinto Productions']",,"['Action', 'Adventure']","['Italian', 'English']"
